"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0,0.857142857142857,1.71428571428571,2.57142857142857,3.42857142857143,4.28571428571429,5.14285714285714,6,6.85714285714286,7.71428571428571,8.57142857142857,9.42857142857143,10.2857142857143,11.1428571428571,12,12.8571428571429,13.7142857142857,14.5714285714286,15.4285714285714,16.2857142857143,17.1428571428571,18
"2",8.23486328125,5.81697927427687,3.46674926251297,2.04055525905403,1.58020511750253,1.63055526378545,2.03763947696417,2.11678930272395,1.44424934575124,0.974351926984598,0.825328968943887,0.977766669105776,1.26627039472995,1.75786330852105,2.41459127382937,1.66027832031254,1.74765638268512,2.08830165318079,1.44186055291558,0.921112683354613,1.35407712982923,1.3417743104877
"3",8.23486328125,5.81697927427687,3.8832979291399,1.99999032041574,1.41348526325631,1.84542846679687,2.59038297793545,2.73029414943007,1.88960226988182,1.22885146017873,1.09541806063762,1.46216643090341,1.99321668319953,2.51327776908874,2.92862780340787,2.68138952816232,2.49998450646033,2.39130242665609,2.61043346437634,2.22716683401187,2.03464214618389,2.66432419868365
"4",8.17309688254831,9.07360869689792,5.76110792160034,2.2009529035116,1.73152701462371,2.75637690226237,3.93680239481265,3.95504429408482,2.54895241477273,1.74160799396179,1.97183095245175,2.21613766284699,2.24391709794792,2.5804780847886,2.89519517686632,2.45911570064358,2.38672369094122,2.45501820975487,3.12613127952398,2.48081365124933,2.35586159916247,2.65191630313271
"5",8.23486328125,5.22451989937827,4.95395700555099,1.90991526316727,1.00200720147772,1.13296145484561,2.30877702590043,2.66659463861937,1.15930305093022,1.5446547899622,2.0369719762841,1.81154896388544,2.34259417385137,2.71951194431471,2.31869354248047,1.97345810340195,2.01614801670478,2.04305145705956,2.41840947339983,2.42240165483834,2.32666562208489,2.67903055671517
"6",8.23486328125001,5.81697927427686,3.8832979291399,1.99999032041575,1.64855266752698,3.24830796983508,3.78458527817804,2.90287327122044,1.63685591502856,0.727969529797401,0.537432783575352,0.897454533552257,1.45363646861575,1.88986590841542,2.10416638011664,2.17174160119259,2.29768361476873,2.28939200736381,2.11357134038752,1.96966740948513,1.87710640125705,2.62726104393434
"7",8.23486328125,5.22451989937827,4.39206136067709,2.1333680618641,1.65878593073356,2.31770703471299,2.58612532421519,1.84810990896839,0.394992646716889,0.496293246343757,1.24667288645308,1.45025916033626,1.59996492810015,1.87695385859563,2.22804597553454,2.19443162282308,1.98253468717082,2.14814314731332,1.98964489556347,2.13537436187583,2.29757715444096,2.50318193435669
"8",8.23486328125,5.22451989937827,4.95395700555099,1.90991526316727,1.00200720147772,1.13296145484561,2.31869070682674,2.66659463861937,1.22248954772949,1.60061402495401,1.70545161686387,1.02690439005844,1.73989058881683,2.63790419295027,3.02197446917543,2.66048392602953,2.73058549184648,2.53745154178504,2.87430737065334,2.51457564895218,2.76913261413574,2.52340456334556
"9",8.23486328124994,5.81697927427693,3.46674926251296,2.04055525905379,1.58020511750254,1.84002922576635,1.89465287074443,1.73110635446917,1.18055002312913,0.9903082862307,0.991913626311004,1.06170001272498,1.12278030368615,1.28998347101973,1.64425332205581,0.892092452090588,1.26334679644992,0.806051974826257,2.12671462803651,1.8661302566526,1.77730544732456,1.87372793802428
"10",8.23486328125001,5.81697927427687,3.88329792913989,1.99999032041576,1.64855266752697,2.4022208504055,3.03086582816342,2.51641434585492,0.898928138831144,-0.00428219404993871,0.128596959999692,0.80254915677584,1.31783740517999,1.75828137934601,2.32350639674974,2.02076118533351,1.9584481375558,1.8671336364746,1.92652192783816,1.90548964280348,1.84927474975586,1.96598828959669
"11",8.23486328125,5.81697927427687,3.46674926251298,2.04055525905403,1.58020511750252,1.84002922576608,1.92328369358689,1.73110635446948,1.42081939697265,1.22808790042549,1.20654963554307,1.32860611625344,1.48535157454221,1.76788459546638,2.23534106182798,2.21500137004446,2.3755874633789,2.07916378974919,2.65253806114192,2.71378078460692,2.30119102588601,2.73270416259763
"12",8.17309688254831,7.41750015751008,4.79982983155108,2.23132305723248,2.0351834122423,1.55158989418281,1.76243538447338,1.92953436957466,0.958039964948382,0.210659072691304,0.4662376439205,1.22346029990961,1.80285946719085,2.18240045787332,2.53621492454474,2.72040227795323,2.50686863490513,2.62913831075033,2.7180691078061,2.49455878848121,2.495029296875,2.64188403320312
"13",8.23486328125,5.81697927427686,3.8832979291399,1.99999032041575,1.64855266752697,3.24830796983507,3.8668032425174,2.90287327122044,1.74942279118363,1.27836631812922,1.25132328247478,1.27458227686135,1.48582535001015,2.07116239814348,2.66863210577713,2.47256679160922,2.67142649165919,2.61464288884943,2.46915473007574,2.40825782631928,1.97576610858623,2.19733407762315
"14",8.23486328124968,5.2245198993778,4.39206136067645,2.13336806186459,1.65878593073367,2.14438014174904,1.96995403292724,1.59563774898084,1.30270931359429,1.26762637640549,1.38954581029007,1.61454684863087,1.92999205495883,2.32144578647289,2.78460672018409,2.46228701942846,2.27761799393713,2.35077133752371,2.87078904371972,2.38714670580535,2.69629124232703,2.99064254760728
"15",8.23486328125069,5.22451989937894,4.39206136067722,2.13336806186441,1.65878593073425,2.14438014174949,1.9688129870999,1.59563774898178,1.30270931359511,1.25967470207176,1.37846922013629,1.61454684863202,1.96241697927074,2.3214457864738,2.61487252371731,2.79171450775373,2.51154446889137,2.41804520289131,2.79163078025566,2.25118441195117,2.83612954275949,2.58886503837481
