,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,3.087858430631868
3,4,2.844666496155754
4,5,3.560283877985264
5,6,3.1245400199677027
6,7,3.08258056640625
7,8,3.285250729077483
8,9,3.4220731295072113
9,10,3.8981379811356707
10,11,2.758694930815361
11,12,3.713355538504464
12,13,2.755621794228242
13,14,3.422909206814236
14,15,4.203055953979492
15,16,3.477879842122396
16,17,3.7158141616703
17,18,3.6173305935329862
18,19,3.3082676763119907
19,20,5.739411853608631
20,21,5.764053180653562
21,22,5.214073031556373
22,23,3.7426741870481575
23,24,5.0166796875
