,time,atp
0,0,3.1421632193476774
1,1,3.0345722545276987
2,3,3.441251277923584
3,4,3.3837115380071823
4,5,3.6650544126590567
5,6,2.2652019019265777
6,7,2.5547832524010894
7,8,3.2640081165793413
8,9,2.5362174656080163
9,10,3.009098868534483
10,11,2.7275656127929686
11,12,3.5386167151905665
12,13,2.582636547696059
13,14,2.674095717556958
14,15,2.631087984357561
15,16,2.623485310872396
16,17,2.444215521754989
17,18,2.5301005045572915
18,19,2.3104684394702577
19,20,2.953929725060096
20,21,3.8918217677696076
21,22,4.107241624977156
22,23,2.69383743208677
23,24,2.6910111814363233
