,time,atp
0,0,2.8873852436049576
1,1,2.750865218030858
2,3,2.8026988841869214
3,4,2.9938324614838288
4,5,3.4393685913085936
5,6,2.7059275492864394
6,7,3.2032256027747845
7,8,3.053682933134191
8,9,2.3008069860221054
9,10,3.2323085867243706
10,11,2.835660934448242
11,12,3.467221739233994
12,13,1.9462714059012276
13,14,2.3453551175301537
14,15,3.03585205078125
15,16,2.4229739776438914
16,17,2.1256512667225524
17,18,2.556238135512994
18,19,1.7130833779611896
19,20,3.6990082839439653
20,21,4.243387442867772
21,22,4.197786364252168
22,23,2.6193185082093917
23,24,3.397497493315508
