,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,3.087858430631868
3,4,2.844666496155754
4,5,3.761626980828901
5,6,3.0926882860137197
6,7,2.1983515307507706
7,8,3.2575437832722622
8,9,2.7470611572265624
9,10,3.4327146798972317
10,11,2.6336457701935165
11,12,3.36101443268532
12,13,2.2350040176539747
13,14,2.2380199432373047
14,15,4.811268121423856
15,16,2.88720703125
16,17,4.1653337478637695
17,18,3.9469927797223083
18,19,2.47695839621804
19,20,3.4917971962376644
20,21,3.4524869263627145
21,22,3.4362195332845054
22,23,1.8276414803579344
23,24,2.829991570834456
