,time,atp
0,0,2.8873852436049576
1,1,2.750865218030858
2,3,2.8026988841869214
3,4,2.9938324614838288
4,5,3.4393685913085936
5,6,2.7059275492864394
6,7,3.2032256027747845
7,8,3.053682933134191
8,9,2.3008069860221054
9,10,3.1504257316876174
10,11,2.4046905662211198
11,12,1.9918792488039
12,13,2.062887125081949
13,14,2.59923875188253
14,15,3.6719618335212627
15,16,3.387590928511186
16,17,2.15531499953497
17,18,2.2795487369399474
18,19,1.556842182957849
19,20,2.8442910815042164
20,21,2.295647689976643
21,22,2.325418593008307
22,23,1.2394157250722249
23,24,2.247838397358739
