,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,2.4475195168038093
3,4,2.610570581947885
4,5,2.9001174085722194
5,6,1.7310410853794642
6,7,2.268867639394907
7,8,2.838418560827564
8,9,2.9037405395507814
9,10,3.0015041403574485
10,11,2.2583719889322915
11,12,3.547484390378937
12,13,2.38225484545765
13,14,3.10610569113552
14,15,2.900873046875
15,16,2.5374544979481213
16,17,2.297123856977983
17,18,2.618197953073602
18,19,4.7096238878038195
19,20,2.609421139671689
20,21,5.510380268096924
21,22,5.546395838945761
22,23,4.707732879363738
23,24,3.619791214554398
