,time,atp
0,0,2.8873852436049576
1,1,2.750865218030858
2,3,2.8026988841869214
3,4,2.9938324614838288
4,5,3.4393685913085936
5,6,2.7059275492864394
6,7,3.2032256027747845
7,8,3.053682933134191
8,9,2.3008069860221054
9,10,3.2323085867243706
10,11,2.835660934448242
11,12,3.467221739233994
12,13,2.3003941366117293
13,14,3.1505018446180557
14,15,4.86553515625
15,16,3.4485417807974468
16,17,3.1604721966911766
17,18,3.8809336580971414
18,19,4.088407646105128
19,20,3.501703514243072
20,21,3.5792305501302084
21,22,3.4671561104910715
22,23,3.052439478824013
23,24,3.516774794634651
