,time,atp
0,0,3.1421632193476774
1,1,3.0345722545276987
2,3,3.441251277923584
3,4,3.3837115380071823
4,5,3.6650544126590567
5,6,2.2652019019265777
6,7,2.5547832524010894
7,8,3.2640081165793413
8,9,2.829197549412393
9,10,4.169614466225228
10,11,2.9187409627503453
11,12,3.1022826163999495
12,13,2.172627188942649
13,14,2.6234743142429786
14,15,4.472741078522246
15,16,3.8460275244525097
16,17,2.8601719953011777
17,18,2.9311454079367896
18,19,2.7821947733561196
19,20,3.7784822525516635
20,21,4.472596740722656
21,22,3.6021555307749153
22,23,2.36694493787042
23,24,3.0197509034665044
