,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,3.087858430631868
3,4,2.844666496155754
4,5,3.560283877985264
5,6,3.1245400199677027
6,7,3.240341591624032
7,8,4.312090487093539
8,9,3.02047337366882
9,10,3.4828880797041224
10,11,2.6525828510249427
11,12,3.6671748506850093
12,13,3.104686151984279
13,14,3.4592613302251345
14,15,4.304595229204963
15,16,4.685283096976902
16,17,3.664382422530411
17,18,4.218850840692935
18,19,5.303489630170863
19,20,4.4829022524168165
20,21,5.4472029402449325
21,22,3.564220985669768
22,23,2.0477340004660864
23,24,2.3666997426569205
