,time,atp
0,0,2.8873852436049576
1,1,3.046328348884416
2,3,2.4475195168038093
3,4,2.610570581947885
4,5,2.9001174085722194
5,6,1.7310410853794642
6,7,2.268867639394907
7,8,2.838418560827564
8,9,2.566555525905402
9,10,2.8877642905875427
10,11,2.262294114882976
11,12,3.003975819733183
12,13,1.8476451220433356
13,14,1.6128863823123094
14,15,2.3066974396401263
15,16,2.4042800319650786
16,17,3.14344482421875
17,18,2.6666808569130778
18,19,4.434396413451466
19,20,3.7526582343393264
20,21,2.957617269979941
21,22,1.4331258138020833
22,23,1.620336773751796
23,24,2.0425214445992803
