,time,atp
0,0,3.1421632193476774
1,1,3.0345722545276987
2,3,3.441251277923584
3,4,3.3837115380071823
4,5,3.6650544126590567
5,6,2.2652019019265777
6,7,2.5547832524010894
7,8,3.2640081165793413
8,9,2.5362174656080163
9,10,3.009098868534483
10,11,2.7275656127929686
11,12,3.2405758419552364
12,13,2.3602001872283735
13,14,2.9450840541294645
14,15,3.074105371402789
15,16,3.4845000395903716
16,17,3.140613849346454
17,18,3.6053816170528017
18,19,3.8302963256835936
19,20,5.212486464742552
20,21,3.970400178813499
21,22,5.301985677083334
22,23,3.26597184049869
23,24,4.177706049292127
