,ATP_Class
0,high
1,high
2,low
3,low
4,high
5,low
6,low
7,high
8,high
9,low
10,high
11,low
12,low
13,low
14,low
15,low
16,high
17,low
18,high
19,high
20,low
21,low
22,low
23,low
24,low
