,ATP_Class
0,high
1,high
2,low
3,low
4,low
5,low
6,high
7,high
8,high
9,low
10,high
11,low
12,low
13,low
14,low
15,high
16,high
17,high
18,low
19,high
20,low
21,low
22,low
23,low
24,high
