,time,atp
0,0,2.6876834284060847
1,1,2.7018484783987713
2,2,2.266246751124757
3,3,1.9024847389587176
4,4,2.706090992894666
5,5,2.2269064157120306
6,6,2.3150833484738373
7,7,2.3212348907348144
8,8,2.2899264550024223
9,9,2.0173788217397837
10,10,1.85614013671875
11,11,1.8147448549176206
12,12,2.122092913384218
13,13,2.1946883905129355
14,14,3.8066536112034575
15,15,5.232503093096365
16,16,2.5300493573809004
17,17,3.5142388316248194
18,18,2.921280924479167
19,19,0.8351249301556459
20,20,5.745950647302576
21,21,3.9068921466206397
22,22,3.062861349730365
23,23,2.369192976292556
24,24,4.7359389267958605
25,25,3.664307760536124
26,26,3.6548201445561306
27,27,4.491977772814162
28,28,2.7263760746273538
29,29,2.6272373814736643
