,time,atp
0,0,2.3412816725194654
1,1,2.7558421560138537
2,2,2.2439111049637597
3,3,1.7858749767074316
4,4,2.608994368668441
5,5,2.3312327348066297
6,6,1.8380346859202665
7,7,1.927691792332849
8,8,1.7502017550998263
9,9,2.0765675191346764
10,10,2.181045950275578
11,11,2.3383686749232298
12,12,2.467074615786774
13,13,2.547309056883718
14,14,3.5186854255269973
15,15,4.0104672271426365
16,16,2.433696503334857
17,17,3.4911442806846216
18,18,3.729372891512784
19,19,0.2597218258842748
20,20,6.762352454144022
21,21,4.286411186865775
22,22,2.7763383106518815
23,23,2.4670223182355855
24,24,3.9919868081302967
25,25,3.706709303297438
26,26,4.063979791135204
27,27,5.09020662568306
28,28,3.727020772298177
29,29,3.535572764637706
