,time,atp
0,0,2.3412816725194654
1,1,2.7558421560138537
2,2,2.2439111049637597
3,3,1.7858749767074316
4,4,2.608994368668441
5,5,2.3312327348066297
6,6,1.8380346859202665
7,7,1.927691792332849
8,8,1.7502017550998263
9,9,2.0765675191346764
10,10,2.232873236382758
11,11,2.4709016569368134
12,12,2.541094222158756
13,13,2.3773748679239244
14,14,3.095826658484054
15,15,3.720503922347184
16,16,2.363147663620283
17,17,3.288130199636212
18,18,3.0837581511466734
19,19,2.5412705584270197
20,20,5.028299726678069
21,21,3.6641376495361326
22,22,3.2442626953125
23,23,2.6389653947618275
24,24,6.30106843647204
25,25,4.317391788258272
26,26,4.0605818267561435
27,27,4.624676044170673
28,28,3.007300048828125
29,29,2.593375973585175
