 ,Area,Mean,StdDev,Mode,Min,Max
1,1251180,0.740,0.131,1.226,0.540,2.721
2,1251180,0.746,0.133,1.223,0.455,3.131
3,1251180,0.712,0.127,1.165,0.379,27.200
