,ATP_Class
0,low
1,low
2,low
3,low
4,low
5,high
6,low
7,low
8,high
9,high
10,high
11,low
12,low
13,low
14,high
15,high
16,high
17,high
18,high
19,high
20,high
21,high
22,high
23,low
24,low
