,ATP_Class
0,low
1,low
2,low
3,low
4,low
5,low
6,low
7,low
8,low
9,low
10,low
11,low
12,low
13,low
14,low
15,high
16,high
17,low
18,low
19,low
20,high
21,high
22,low
23,low
24,low
