 ,Area,Mean,StdDev,Mode,Min,Max
1,1251180,1.209,0.127,1.182,0.366,3.027
2,1251180,1.181,0.118,1.166,0.400,4.000
3,1251180,0.898,0.090,1.086,0.027,2.781
