,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.8606190321180556
3,4,3.0377980645200546
4,5,2.4139275608292543
5,6,3.498633428451118
6,7,4.6211600501697285
7,8,5.378699001736111
8,9,2.420115842657574
9,10,3.403014747959793
10,11,3.19080327631353
11,14,3.0115887012357025
12,15,2.8614796173878205
13,16,3.2988368124857437
14,17,2.9554306685558855
15,18,3.9444311636465565
16,19,3.981660189693921
17,20,3.1226066031107087
18,21,2.793817367145722
19,22,2.6599909464518228
20,23,3.33794883920365
21,24,4.096040344238281
