,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.8606190321180556
3,4,3.0377980645200546
4,5,2.6208349021084336
5,6,3.2857997961211622
6,7,4.35054339182105
7,8,7.456290457589286
8,9,3.385895852481618
9,10,4.500850442461493
10,11,3.258030875784452
11,14,3.3387617976028725
12,15,3.492552153918208
13,16,3.527789015997024
14,17,4.12472412109375
15,18,4.182783088428062
16,19,3.5288013458251952
17,20,3.2105043068910257
18,21,3.0341442168071007
19,22,3.593281081627155
20,23,3.3203195040343236
21,24,3.4390561190518465
