,time,atp
0,0,6.624136362479642
1,1,5.342253766741071
2,2,2.8606190321180556
3,4,3.0377980645200546
4,5,2.4139275608292543
5,6,3.498633428451118
6,7,4.6211600501697285
7,8,5.272178939626187
8,9,3.0330804019050803
9,10,3.986229135208771
10,11,3.2474237579146243
11,14,3.170558686890354
12,15,3.813051285282258
13,16,4.203652288680686
14,17,4.208953498391544
15,18,4.121077473958334
16,19,4.617144416360294
17,20,3.7123164602890317
18,21,2.529641459307333
19,22,2.8886635044642857
20,23,2.9038619995117188
21,24,4.065894738951726
