"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",6.35482398692507,3.92822933475681,3.91413896539238,3.28621704101562,2.54031942724212,4.56661063952324,2.85454886300223,3.7357692433827,3.0413818359375,3.45501248341686,5.98911607530382,3.34045132723722,3.77164273648649,5.47544516286542,3.73117647826217,3.61223479991651,3.38664823733502,3.72436138762145
"2",6.35482398692507,4.77358979310264,3.91413896539238,4.13410370925377,4.86572731542223,4.32015360400663,3.11125583093143,3.1537547537951,4.13537871531951,4.1037743411847,5.12166942249645,3.44562397305928,3.81642829047309,12.5690709164268,3.18382376211661,4.69799423217773,5.15361989339193,5.06968477037218
"3",6.35482398692507,3.72464418314743,4.46045120363313,2.59837129100269,3.26287350412142,3.91902054187863,3.91201581746122,3.39710378122854,2.85386309285802,3.26430754228072,4.75491153492647,2.39914083480835,2.45621425653595,7.33523130063657,3.04625413682726,2.80890689425998,3.03677185339862,3.45868954072363
"4",6.35482398692507,4.13689891797616,4.23571582964272,3.81930327833745,4.65370196174173,2.95238786498552,3.35594685872396,2.82471225350936,4.11311137781734,3.52349133761424,5.50362669000971,3.35171152750651,3.43782689021184,7.0360599093967,3.32353551764237,3.54412159166838,4.06712486100023,4.23007986886161
"5",5.42476477097196,3.42786694140595,3.53005893534594,3.99766948861136,3.82227499178141,2.99142217636108,2.50548238046599,2.51925773051248,2.91769909185205,2.28770282114152,3.65298063858696,2.35962330211293,1.62882262531973,5.67373234675481,3.14349920099432,3.7268445813978,4.4378903296686,3.65401259202224
"6",5.42476477097196,3.74701063442284,3.43227594549006,3.61125081380208,2.46101204006151,3.4442328014513,3.00559427652014,2.60206216840602,2.72189106188322,2.49441764280968,3.87729301802609,1.79067764282227,2.77373514057677,2.70837838309152,3.76914591471354,3.89504069010417,4.60157738662348,3.76873717645202
"7",5.42476477097196,3.5180372013819,3.27848553505673,3.57176005045573,3.4906744541266,3.24968397352431,2.69495961363886,2.27719301676882,2.35970897059287,2.63992191285126,4.76881312924948,3.0695425777112,3.39164290889617,5.50018115234375,2.79205102539062,3.6485146484375,4.21215128161244,3.43658340186404
"8",6.35482398692507,3.99800471255,4.23571582964272,3.81930327833745,3.60472382694842,4.84132302024148,3.76283211543642,3.57973425728934,2.80095493646316,1.65400877453032,6.00479789402174,4.1352085020484,3.92757438890862,5.31625044973273,3.70453319674224,3.45856630412582,3.42540551334447,3.34032383861158
"9",6.35482398692507,4.42810735437197,3.91413896539238,3.28621704101562,2.54031942724212,4.56661063952324,2.85454886300223,3.7357692433827,3.0413818359375,3.12521186916307,4.91179784138997,3.49404882615612,4.34210316727801,6.74201785816866,4.4028483475789,3.91665765893368,3.81104684383311,4.33144899398562
"10",6.35482398692507,4.11610876482264,3.91413896539238,3.28621704101562,2.54031942724212,4.56661063952324,2.85454886300223,3.2411503612547,3.56913109348245,3.56913081301919,5.9403396498227,3.99634646581224,4.18073064630682,7.07803109975961,3.7665283203125,3.81309096392463,3.4152829683744,3.8874276968149
