"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",0,1.03448275862069,2.06896551724138,3.10344827586207,4.13793103448276,5.17241379310345,6.20689655172414,7.24137931034483,8.27586206896552,9.31034482758621,10.3448275862069,11.3793103448276,12.4137931034483,13.448275862069,14.4827586206897,15.5172413793103,16.551724137931,17.5862068965517,18.6206896551724,19.6551724137931,20.6896551724138,21.7241379310345,22.7586206896552,23.7931034482759,24.8275862068966,25.8620689655172,26.8965517241379,27.9310344827586,28.9655172413793,30
"2",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.70609099289467,2.22690641571203,2.31508334847384,2.32123489073481,2.28992645500242,2.01737882173978,1.85614013671875,1.81474485491762,2.12209291338422,2.19468839051294,3.80665361120346,5.23250309309636,2.5300493573809,3.25860535864737,3.25359950418258,0.65815398272346,5.40965270996094,3.49835181421088,3.20461658949263,2.7961114477441,4.65657277487538,3.80504739695582,3.66877327188414,4.41182650052584,3.61840763798466,3.78338180763134
"3",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.83176540099468,2.23725954987282,2.37484807076214,2.1518113469503,1.91514288360749,1.7500075188236,1.65198838415225,1.99098665752108,2.53293779161241,2.78982274176666,3.4881974517322,4.02157180944529,2.11577372648278,3.22782533907043,3.16154505842823,0.0195619798288113,4.43694036363979,3.57170009613037,2.96064851033753,2.49643206704256,4.14053177506956,3.56529432024275,3.18741824988163,3.81830272358425,2.58982889488261,1.84462780422635
"4",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.16327978859485,2.33198732943148,2.15492592519418,2.50954586851831,2.74950912575317,3.4877074591004,3.62216159516731,2.27452151514903,2.75647750174164,2.70179081889032,-9.7119604186917e-16,4.17960759213096,4.82384186624829,3.07463621183206,2.94286943292942,4.20509629360465,3.9525745838612,3.95708836146764,4.43775111607143,3.24857429836108,2.8437110790308
"5",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.57197747158645,2.38766137099848,2.18521195099133,1.8750820691842,2.16327978859485,2.33198732943148,2.15492592519418,2.50954586851831,2.74950912575317,3.4877074591004,3.62216159516731,2.27452151514903,2.75647750174164,2.70179081889032,-1.42397744648813e-17,4.17960759213096,4.82384186624829,3.07463621183206,2.94286943292942,4.20509629360465,3.87110537574405,3.91222386578329,5.36389218009479,3.48745186098161,2.72095027114406
"6",2.34128167251947,2.75584215601385,2.24391110496376,1.78587497670743,2.60899436866844,2.33123273480663,1.83803468592027,1.92769179233285,1.75020175509983,1.97239409656059,1.98149365336955,2.09265580961976,1.9982698059082,2.5599406134222,3.41210103352865,3.62524727063301,2.20891870117187,3.62975880456349,3.36872307118428,0.657572393547999,6.04071916852679,3.67081027560764,2.6519539125504,2.81246337890625,4.22806612299292,4.16158219222184,4.14143048799955,4.23946666068771,3.00479468687333,2.64517161885246
"7",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.70609099289467,2.22690641571203,2.31508334847384,2.32123489073481,2.28992645500242,2.01737882173978,1.85614013671875,1.81474485491762,2.12209291338422,2.50595117994577,3.66332817077636,4.70960592078329,2.701234181722,3.44976167900618,3.23406846788195,-5.53122783549854e-16,3.32252518848706,4.96807421875,3.20519936490221,2.51114556509689,3.90402335645747,3.42010248460734,3.3666994367327,4.91641838393525,2.52082816459038,1.96612997190647
"8",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.70609099289467,2.22690641571203,2.31508334847384,2.32123489073481,2.28992645500242,2.01737882173978,1.85614013671875,1.81474485491762,2.12209291338422,2.19468839051294,3.80665361120346,5.23250309309636,2.5300493573809,3.25860535864737,3.25359950418258,0.65815398272346,5.40965270996094,3.49835181421088,3.23918602683327,2.60268074139211,5.09446426265496,3.19766754799701,3.23012357377737,4.5942143734699,3.33807828533116,3.14792126071069
"9",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.70609099289467,2.22690641571203,2.31508334847384,2.32123489073481,2.28992645500242,2.01737882173978,1.85614013671875,1.81474485491762,2.12209291338422,2.50595117994576,3.66332817077636,4.7096059207833,2.70123418172201,3.44976167900618,3.23406846788194,6.050956703132e-16,3.32252518848706,4.96807421875,3.13217278975475,2.7445765615299,4.63963029191301,4.63621164482331,3.82798502267885,5.26501014248637,2.70969301937548,2.91632165641428
"10",2.68768342840608,2.70184847839877,2.26624675112476,1.90248473895872,2.83176540099468,2.23725954987282,2.37484807076214,2.21253687390209,2.07080400169794,2.01766116802509,1.95070020099019,2.17006787109375,2.45305425470526,2.51611022949219,3.4667466757954,4.21641043330846,2.11588398701436,3.12668833338228,2.75880134396437,0.889240993542618,5.52633849816388,3.21823354867788,2.80993026342147,2.18472316347319,3.64107345689273,3.5360844930013,3.61825829221491,3.91812569754464,2.82503719780389,2.56099720490284
